timestamp_utc,market_id,gross_demand_mw,wind_mw,solar_mw,net_load_mw,market_scale_mw,forecast_issue_time_utc,forecast_vintage_id,quality_ok,forecast_gross_h1_mw,forecast_gross_h3_mw,forecast_gross_h6_mw,forecast_gross_h12_mw,forecast_net_h1_mw,forecast_net_h3_mw,forecast_net_h6_mw,forecast_net_h12_mw
2025-02-17 12:00:00+00:00,ISONE_NEMA,15306,846,51,14409,18007.25,2025-02-17T12:00:00Z,causal-ridge-shortlag-v2,True,15518.681059797418,15427.936200898346,15332.807657209221,17477.638842608132,14538.074423995424,14280.714692681431,14119.381122876257,16732.16462270925
2025-02-17 12:00:00+00:00,MISO_MINN_HUB,90177,12328,5,77844,101249.75,2025-02-17T12:00:00Z,causal-ridge-shortlag-v2,True,93344.20545993844,95849.63569838842,95027.18306384183,93964.47068529244,80158.17011455109,78047.32541930207,75134.53493881019,79884.834805707
2025-02-17 12:00:00+00:00,SPP_NORTH_HUB,41211,16237,0,24974,46366.75,2025-02-17T12:00:00Z,causal-ridge-shortlag-v2,True,42206.059752034314,42633.93379631428,41535.92099803798,39695.97925276187,25705.29619774287,26877.260649135234,27021.10920311574,25692.288071382365
2025-02-17 13:00:00+00:00,CAISO_NP15,19805,3387,0,16418,33983.0,2025-02-17T13:00:00Z,causal-ridge-shortlag-v2,True,20034.23617836974,20944.80183495092,22593.31852384112,23276.24019569624,15477.227046423295,12544.836297166341,9469.231468363234,13354.72768772645
2025-02-17 13:00:00+00:00,ISONE_NEMA,15457,841,153,14463,18007.25,2025-02-17T13:00:00Z,causal-ridge-shortlag-v2,True,15482.510251963084,15256.399194613128,15074.170297391753,17184.33993741716,14394.9101566161,14026.045354924014,13845.86162317131,16500.309430078523
2025-02-17 13:00:00+00:00,MISO_MINN_HUB,92558,11997,1564,78997,101249.75,2025-02-17T13:00:00Z,causal-ridge-shortlag-v2,True,93115.39192926411,93202.77818819426,92056.86959694329,94365.12778518222,77188.56748323521,72445.56966428294,70934.11674844784,80852.87871087567
2025-02-17 13:00:00+00:00,SPP_NORTH_HUB,42390,16974,8,25408,46366.75,2025-02-17T13:00:00Z,causal-ridge-shortlag-v2,True,42972.54439604396,42786.77743559507,41148.05905232736,39488.17122516857,25809.546292335446,26393.909470904473,25858.42619623988,24648.807488953636
2025-02-17 14:00:00+00:00,CAISO_NP15,21085,3517,0,17568,33983.0,2025-02-17T14:00:00Z,causal-ridge-shortlag-v2,True,21722.893378668592,22587.61349905662,22684.77122435907,23566.958090694938,16305.628854169216,12475.566868784725,8538.61445659977,16072.295244318877
2025-02-17 14:00:00+00:00,ISONE_NEMA,15367,855,240,14272,18007.25,2025-02-17T14:00:00Z,causal-ridge-shortlag-v2,True,15254.55021855903,14877.94937403586,14947.432768175602,16349.677146634374,14068.991720660115,13586.726738691978,13758.524541682906,15664.362132321465
2025-02-17 14:00:00+00:00,MISO_MINN_HUB,91936,12076,6662,73198,101249.75,2025-02-17T14:00:00Z,causal-ridge-shortlag-v2,True,90094.46853752648,89115.35163512852,89697.28531236427,89568.11325639556,67585.94957425953,63918.10917863643,66416.5331646064,74668.84970492584
2025-02-17 14:00:00+00:00,SPP_NORTH_HUB,42468,17141,108,25219,46366.75,2025-02-17T14:00:00Z,causal-ridge-shortlag-v2,True,42311.82094588555,41409.0297733607,39803.04233667016,39003.79659942747,25355.207253100474,25307.2650971688,24684.421633108323,24143.56869090673
2025-02-17 15:00:00+00:00,CAISO_NP15,22395,3801,125,18469,33983.0,2025-02-17T15:00:00Z,causal-ridge-shortlag-v2,True,23091.819671221314,23499.261432844713,22226.394667565244,24330.61574508587,16514.177079128596,11612.232617147349,7395.920830995998,18768.517279188374
2025-02-17 15:00:00+00:00,ISONE_NEMA,15290,873,354,14063,18007.25,2025-02-17T15:00:00Z,causal-ridge-shortlag-v2,True,15204.774594532608,14912.393099116933,15355.442900486853,15534.263158236143,13901.364562639883,13563.78636966789,14207.417507063295,14826.11022744107
2025-02-17 15:00:00+00:00,MISO_MINN_HUB,90435,12282,9384,68769,101249.75,2025-02-17T15:00:00Z,causal-ridge-shortlag-v2,True,89003.04669869026,88682.17332607489,88314.06555287752,84493.55364788456,66233.61891456753,66481.57669505595,68243.65676833659,70067.32329331015
2025-02-17 15:00:00+00:00,SPP_NORTH_HUB,41780,17494,250,24036,46366.75,2025-02-17T15:00:00Z,causal-ridge-shortlag-v2,True,41123.780324912,39837.728315686036,38571.949045697984,38171.67409439354,23501.079106202,22791.18116763798,22525.14678682435,22719.259702519335
2025-02-17 16:00:00+00:00,CAISO_NP15,23271,3268,3797,16206,33983.0,2025-02-17T16:00:00Z,causal-ridge-shortlag-v2,True,23613.68856152497,23309.28550896003,22508.63238265497,25573.9981272241,12589.558321813329,9214.620683260911,8018.837374532974,21021.80042762633
2025-02-17 16:00:00+00:00,ISONE_NEMA,15193,889,377,13927,18007.25,2025-02-17T16:00:00Z,causal-ridge-shortlag-v2,True,15106.481820916635,14903.071580407905,15369.077413148876,14673.891185401284,13817.303983434707,13630.072667791854,14341.22841933927,13972.510571494624
2025-02-17 16:00:00+00:00,MISO_MINN_HUB,89157,13047,10226,65884,101249.75,2025-02-17T16:00:00Z,causal-ridge-shortlag-v2,True,88044.37662453063,87562.72011431311,89233.14158685363,83129.06098023154,64690.60714174937,64146.006852894265,70445.57683658472,66736.94531135318
2025-02-17 16:00:00+00:00,SPP_NORTH_HUB,40903,17251,249,23403,46366.75,2025-02-17T16:00:00Z,causal-ridge-shortlag-v2,True,40101.00002602519,38705.012124027424,37686.03095233246,37883.94845365679,23021.64745219638,22223.87467258361,22154.637285385543,22892.6155471748
2025-02-17 17:00:00+00:00,CAISO_NP15,23756,3432,10900,9424,33983.0,2025-02-17T17:00:00Z,causal-ridge-shortlag-v2,True,23679.980173123695,22908.617048638338,23114.370848622988,25372.973267393547,5098.559891465255,5741.011478619919,9764.31474371819,21375.88339589493
2025-02-17 17:00:00+00:00,ISONE_NEMA,15044,912,361,13771,18007.25,2025-02-17T17:00:00Z,causal-ridge-shortlag-v2,True,14950.100529935964,14814.739274974028,15199.572652666066,14059.517021232752,13676.58478759538,13595.45515019468,14235.589745813626,13344.927876321504
2025-02-17 17:00:00+00:00,MISO_MINN_HUB,87579,13667,10069,63843,101249.75,2025-02-17T17:00:00Z,causal-ridge-shortlag-v2,True,86386.82832117396,86364.95510017131,88243.31179374989,82367.1949138347,63270.05382027439,64864.84531231718,71758.94897411598,66962.48304894064
2025-02-17 17:00:00+00:00,SPP_NORTH_HUB,40101,16596,249,23256,46366.75,2025-02-17T17:00:00Z,causal-ridge-shortlag-v2,True,39404.72591562188,38254.43828861304,37548.654628138116,37986.2516831325,23023.60577492878,22419.18999164091,22446.463258291453,23183.351063039987
2025-02-17 18:00:00+00:00,CAISO_NP15,23782,3440,13174,7168,33983.0,2025-02-17T18:00:00Z,causal-ridge-shortlag-v2,True,23443.721230291078,23331.807834825828,23425.49515001738,23700.21781904026,6950.818975656644,7862.555132131032,12550.198273926275,20143.586593666223
2025-02-17 18:00:00+00:00,ISONE_NEMA,14977,929,347,13701,18007.25,2025-02-17T18:00:00Z,causal-ridge-shortlag-v2,True,14945.054277068795,14919.237436951713,15266.57103224342,13664.787430965382,13689.837293446377,13770.761564527831,14382.949386005454,12925.600825168334
2025-02-17 18:00:00+00:00,MISO_MINN_HUB,86364,14182,9653,62529,101249.75,2025-02-17T18:00:00Z,causal-ridge-shortlag-v2,True,85719.81133601448,86651.88541634721,88540.01172915826,81939.19250237478,62759.387632392696,66152.14771069748,72173.37750830996,66773.62716787242
2025-02-17 18:00:00+00:00,SPP_NORTH_HUB,39169,15863,249,23057,46366.75,2025-02-17T18:00:00Z,causal-ridge-shortlag-v2,True,38445.12788254002,37485.69006679818,37318.25095530909,38490.01137603056,22806.767618522204,22480.7392100453,22949.919782456676,23844.371260901928
2025-02-17 19:00:00+00:00,CAISO_NP15,23390,3576,13255,6559,33983.0,2025-02-17T19:00:00Z,causal-ridge-shortlag-v2,True,23200.654164185355,22981.36909406083,23785.940333792496,22771.03144129066,6484.949357290345,9374.648708556238,15135.462566438715,19251.66043391401
2025-02-17 19:00:00+00:00,ISONE_NEMA,15266,937,297,14032,18007.25,2025-02-17T19:00:00Z,causal-ridge-shortlag-v2,True,15476.560025017676,15537.966544124009,15564.855135591646,13427.584851734935,14297.500192856354,14504.679588890252,14779.453946364634,12658.680501830762
2025-02-17 19:00:00+00:00,MISO_MINN_HUB,85423,14717,9381,61325,101249.75,2025-02-17T19:00:00Z,causal-ridge-shortlag-v2,True,84978.26316263287,86472.31257330913,89017.85532031883,83300.15281754748,61782.95630063262,66529.38287465097,73267.44536487215,67744.17502718949
