interaction_count,mean_raw_joint_reward,mean_raw_ramp_reward,mean_raw_peak_reward,mean_raw_ramp_squared,mean_raw_peak_increment,mean_raw_incremental_ramp_impact,episode_count,mean_completed_episode_return,elapsed_seconds
464896,1.3020875813703513e-05,2.120778919905437e-05,-8.186913385350853e-06,0.008502409670785875,0.006754552840114031,-0.00025593804965193403,4,0.010761744809893156,2326.709574299981
466944,1.1096791330369284e-05,1.9102256834203876e-05,-8.005465503834591e-06,0.007181819898961069,0.007163334359612415,-0.00023052824187419127,4,0.011431628369450065,2340.1940747000044
468992,2.0296076690821947e-05,2.146763782681738e-05,-1.1715611359954366e-06,0.008639171854035801,0.0006919361285902172,-0.0002590739329054965,0,nan,2351.8416511999676
471040,1.596437339637943e-05,2.383055623822112e-05,-7.866182841841687e-06,0.008760400710425128,0.006040481683347673,-0.00028758990522232254,4,0.010050593010430871,2359.3056011999724
473088,1.3113071732243297e-05,2.1254882158648576e-05,-8.141810426405277e-06,0.007873082273436218,0.00724144171084661,-0.00025650637292777155,4,0.01276001428761623,2365.5330185000203
475136,1.6414019018742465e-05,2.2751048763303833e-05,-6.337029744561368e-06,0.009390053705188927,0.0043124957528434225,-0.00027456228432691434,3,0.012498637385112069,2371.5384589000023
477184,2.0601427584718752e-05,2.2492993582696062e-05,-1.8915659979773098e-06,0.006690629393498033,0.0024302724387210432,-0.0002714480446007728,1,0.011819649656510077,2376.8617903999984
479232,1.3361126519829086e-05,2.1802472215525016e-05,-8.441345695695934e-06,0.006856699460474339,0.0061848135729546515,-0.00026311475298334083,4,0.011676997007717392,2383.215504599968
481280,1.382737357258067e-05,2.1775475031922453e-05,-7.948101459341782e-06,0.007157945765709007,0.00626907190272096,-0.00026278894785332547,4,0.011773085777517973,2395.2101688999683
483328,2.212452830891064e-05,2.2095345831440604e-05,2.9182477470037494e-08,0.0077542063391829825,0.0008530560561623053,-0.0002666491856084674,0,nan,2406.8356475000037
485376,1.323933459096327e-05,2.113557513436626e-05,-7.89624054340299e-06,0.006860356818203214,0.006175674812697616,-0.0002550665619782194,4,0.011746819243067762,2421.4838423000183
487424,1.2423251030158706e-05,2.044130872790693e-05,-8.018057697748221e-06,0.00642114532635467,0.006192807451849287,-0.00024668807479408706,4,0.010929921786589341,2434.9717692999984
489472,2.349624374908822e-05,2.3154387424572376e-05,3.4185632451584817e-07,0.007519137980055867,0.00029697320642904423,-0.00027942982187858405,0,nan,2445.717544300016
491520,1.4750255244885955e-05,2.2646223928346375e-05,-7.895968683460422e-06,0.009459066503014684,0.007789549039461822,-0.00027329724611089445,4,0.012818879377722235,2458.257456499967
493568,1.4515606436676096e-05,2.2419092391141894e-05,-7.903485954465796e-06,0.009247062541619848,0.006622642276353001,-0.0002705561964851677,4,0.012021865009170492,2471.3213855000213
495616,2.074584577400421e-05,2.4363855558723887e-05,-3.618009784719678e-06,0.008437963822655301,0.003460980014645879,-0.00029402582302068817,2,0.012860661648626242,2483.421846500016
497664,1.5946807621174553e-05,2.1337252942110575e-05,-5.39044532093602e-06,0.007896318770243105,0.004345882832595914,-0.0002575004330567975,2,0.0156446308639734,2495.623311800009
499712,1.4675448009452926e-05,2.2525160849308928e-05,-7.849712839856e-06,0.008821574555563188,0.006897978447811848,-0.00027183624288972495,4,0.010914297708584968,2507.5010197999654
501760,1.1481056412624357e-05,1.9442039722784955e-05,-7.960983310160596e-06,0.007545955352734822,0.007186029856560674,-0.000234628781020083,4,0.010817756871034081,2521.006816399982
503808,1.9388840362306955e-05,1.9903557611103974e-05,-5.147172487970199e-07,0.007459297858244751,0.001317652377777193,-0.00024019843220376774,0,nan,2532.152272599982
505856,1.3043076320626699e-05,2.1087793235328964e-05,-8.044716914702264e-06,0.007940726211541686,0.006925398493336621,-0.000254489924501607,4,0.009840294783619795,2546.1701501000207
507904,1.4517808753473932e-05,2.258199038875133e-05,-8.064181635277393e-06,0.008714347301253271,0.0068325046715223756,-0.00027252206833579045,4,0.012738692437796689,2559.987210899999
509952,2.0262317214020767e-05,2.1031327872319297e-05,-7.690106582985304e-07,0.007278707174413469,0.00046889459251876775,-0.00025380849397879575,0,nan,2571.1872220999794
512000,1.370182756035887e-05,2.165305673765694e-05,-7.951229177298069e-06,0.008631523344980028,0.006846272913557968,-0.00026131158973825006,4,0.010687179978028441,2584.2846873999806
514048,1.3766488270418331e-05,2.217234161149104e-05,-8.405853341072712e-06,0.008651006499535116,0.006814943566664951,-0.00026757837957548485,4,0.011398318425005684,2596.946767300018
516096,1.3670519724474994e-05,2.1310977024175645e-05,-7.640457299700653e-06,0.008494449343299897,0.006564327616887467,-0.0002571833322441687,4,0.0117198406212565,2609.725804799993
518144,2.19180871166581e-05,2.2806929026757113e-05,-8.888419100990127e-07,0.0068906299125654595,0.0007024806274966048,-0.0002752366538006974,0,nan,2625.5058045000187
520192,1.0942825928227697e-05,2.029080575851889e-05,-9.347979830291194e-06,0.006456394044995381,0.006773077269887017,-0.00024487178757572314,4,0.01153881548709215,2639.578569300007
522240,1.5657025119647776e-05,2.3577921737457036e-05,-7.92089661780926e-06,0.008363617400566688,0.007352989374161873,-0.0002845410828866483,4,0.011218544179592392,2655.389919599984
524288,2.0946241929490675e-05,2.1176101727587937e-05,-2.298597980972642e-07,0.00910396858936441,0.0008249201440669808,-0.0002555556415862276,0,nan,2667.0536547999945
526336,1.1145546251933136e-05,1.9936014131580102e-05,-8.790467879646963e-06,0.007993224128749227,0.007656301731595836,-0.00024059012124175188,4,0.01127839099329811,2680.5694753999705
528384,1.2565040850927732e-05,2.0198167708436154e-05,-7.633126857508418e-06,0.007628273256360485,0.007066351747174878,-0.00024375382088720138,4,0.009921157044469749,2691.5117952
530432,1.4306882881451009e-05,1.8295226671759474e-05,-3.988343790308467e-06,0.0059824091727958655,0.0027912399629393186,-0.00022078890865809573,2,0.010276772721150396,2704.798571399995
532480,1.9918233166831655e-05,2.3989293540533694e-05,-4.071060373702035e-06,0.008269288461551456,0.0038865481739820615,-0.00028950556532152333,2,0.009925466296326024,2718.1460068000015
534528,1.5636001749537236e-05,2.3649770383766623e-05,-8.01376863422939e-06,0.008294837697184303,0.006676244145382754,-0.0002854081606491634,4,0.013214643942295079,2732.273388899979
536576,1.4894099721975987e-05,2.3115541769766956e-05,-8.221442047790968e-06,0.008132647418280316,0.006693736466493339,-0.00027896102802953945,4,0.0134060839114683,2746.606558199972
538624,2.3794006220358256e-05,2.3674882446715625e-05,1.1912377364263241e-07,0.008948729183852748,0.0009253614855499277,-0.00028571121592539135,0,nan,2757.9239538999973
540672,1.455278706441149e-05,2.262408462856356e-05,-8.071297564152065e-06,0.008293592939933401,0.0066827686950510345,-0.0002730300664839239,4,0.012644237629617082,2771.5210925000138
542720,1.4604625022633743e-05,2.2472230526368764e-05,-7.86760550373502e-06,0.008188795798039411,0.0067927386521692106,-0.0002711974736387859,4,0.01301733019858552,2785.674312599993
