collection_id,submit_time,end_time,duration_sec,scheduling_class,priority,job_type,terminal_type,num_tasks,avg_cpu_request,avg_mem_request,total_cpu_request,total_mem_request
73708440438,0,,,3,199,service,,151,0.0026016299356550173,0.028006429906926176,1.162928581237793,12.518874168395996
769737288981,0,,,0,116,batch,,1,0.00135040283203125,0.0012359619140625,0.00405120849609375,0.0037078857421875
671541322550,0,,,0,101,batch,,100,0.0005162729674567588,0.0013275146484375,0.30408477783203125,0.7819061279296875
774562945584,0,,,1,119,batch,,1,0.0007047653198242188,0.006378173828125,0.0007047653198242188,0.006378173828125
615041920549,0,,,2,200,service,,1,0.00022428685968572444,0.0004326213489879261,0.0024671554565429688,0.0047588348388671875
284515455586,0,,,2,200,service,,25,0.0006006038294429278,0.003469391206724454,0.13573646545410156,0.7840824127197266
768436052967,0,,,1,119,batch,,1,0.0012149810791015625,0.0014843940734863281,0.00485992431640625,0.0059375762939453125
168791282148,0,,,2,200,service,,1,0.00022029876708984375,0.0003583431243896485,0.00176239013671875,0.0028667449951171875
751093759572,0,,,0,0,batch,,523,0.016204833984375,0.00418853759765625,44.417449951171875,11.480781555175781
747519372831,0,,,2,115,service,,1,0.0498046875,0.005523681640625,0.099609375,0.01104736328125
117077377993,0,,,2,200,service,,1,0.00058135986328125,0.0007827758789062501,0.00290679931640625,0.00391387939453125
173347756029,0,,,3,200,service,,3,0.004363047219949005,0.002269744873046875,7.16412353515625,3.7269210815429688
654740786003,0,,,3,119,service,,1,0.00566864013671875,0.0013027191162109375,0.6859054565429688,0.15762901306152344
774410926018,0,,,3,200,service,,3,0.004030863444010417,0.002124786376953125,0.01209259033203125,0.006374359130859375
53039307836,0,,,2,200,service,,8,0.0014656254502593493,0.00038687909235719765,0.08940315246582031,0.023599624633789062
726622891246,0,,,2,115,service,,1,0.0012149810791015625,0.0008878707885742188,0.00485992431640625,0.003551483154296875
769669065443,0,,,2,115,service,,1,0.01055145263671875,0.006801605224609375,0.0211029052734375,0.01360321044921875
64031877185,0,,,1,200,service,,232,0.002076791559608238,0.001988194289716701,1.0695476531982422,1.0239200592041016
152618034447,0,,,3,25,service,,1,0.0081024169921875,0.01043701171875,5.6797943115234375,7.31634521484375
149022943881,0,,,1,200,service,,4,0.00035996870561079544,0.0007006905295632101,0.00395965576171875,0.0077075958251953125
157469303636,0,,,3,200,service,,5,0.0,0.0119781494140625,0.0,0.62286376953125
749053912972,0,,,2,200,service,,2,0.0060732705252511164,0.005126953125,0.17005157470703125,0.1435546875
120964564614,0,,,3,200,service,,3,0.0041835715062366165,0.002681732177734375,7.082786560058594,4.540172576904297
665828837590,0,,,3,200,service,,3,0.0003457069396972656,0.0003554821014404297,0.002765655517578125,0.0028438568115234375
774195993286,0,,,2,200,service,,1,0.00035190582275390625,0.0010833740234375,0.0007038116455078125,0.002166748046875
698302721875,0,,,2,101,service,,2500,0.01365577652870658,0.015740577939403783,27506.83066177368,31706.246143341064
770713281393,0,61252807818,61252.807818,0,25,batch,5,1,0.0003785133361816406,0.0007419586181640625,0.0075702667236328125,0.01483917236328125
