timestamp_utc,price_usd_mwh
2025-05-08 21:00:00+00:00,15.7
2025-05-08 22:00:00+00:00,18.40584
2025-05-08 23:00:00+00:00,21.94729
2025-05-09 00:00:00+00:00,35.02446
2025-05-09 01:00:00+00:00,50.1765
2025-05-09 02:00:00+00:00,61.78592
2025-05-09 03:00:00+00:00,59.5253
2025-05-09 04:00:00+00:00,50.05787
2025-05-09 05:00:00+00:00,46.24731
2025-05-09 06:00:00+00:00,41.45164
2025-05-09 07:00:00+00:00,53.23471
2025-05-09 08:00:00+00:00,48.81495
2025-05-09 09:00:00+00:00,45.5306
2025-05-09 10:00:00+00:00,44.39614
2025-05-09 11:00:00+00:00,47.62405
2025-05-09 12:00:00+00:00,51.2759
2025-05-09 13:00:00+00:00,50.35159
2025-05-09 14:00:00+00:00,34.0776
2025-05-09 15:00:00+00:00,25.34768
2025-05-09 16:00:00+00:00,24.21986
2025-05-09 17:00:00+00:00,20.60572
2025-05-09 18:00:00+00:00,19.48728
2025-05-09 19:00:00+00:00,18.79184
2025-05-09 20:00:00+00:00,22.06516
2025-05-09 21:00:00+00:00,23.56535
2025-05-09 22:00:00+00:00,26.54599
2025-05-09 23:00:00+00:00,36.25636
2025-05-10 00:00:00+00:00,48.97084
2025-05-10 01:00:00+00:00,63.69727
2025-05-10 02:00:00+00:00,77.5974
2025-05-10 03:00:00+00:00,67.36676
2025-05-10 04:00:00+00:00,61.50881
2025-05-10 05:00:00+00:00,55.99857
2025-05-10 06:00:00+00:00,54.15294
2025-05-10 07:00:00+00:00,46.64
2025-05-10 08:00:00+00:00,45.45982
2025-05-10 09:00:00+00:00,43.70867
2025-05-10 10:00:00+00:00,41.504
2025-05-10 11:00:00+00:00,43.22797
2025-05-10 12:00:00+00:00,45.09578
2025-05-10 13:00:00+00:00,44.78052
2025-05-10 14:00:00+00:00,24.61013
2025-05-10 15:00:00+00:00,20.29906
2025-05-10 16:00:00+00:00,19.8763
2025-05-10 17:00:00+00:00,18.0
2025-05-10 18:00:00+00:00,18.32272
2025-05-10 19:00:00+00:00,16.75492
2025-05-10 20:00:00+00:00,18.47835
2025-05-10 21:00:00+00:00,19.63464
2025-05-10 22:00:00+00:00,22.16097
2025-05-10 23:00:00+00:00,28.70026
2025-05-11 00:00:00+00:00,45.31317
2025-05-11 01:00:00+00:00,53.9875
2025-05-11 02:00:00+00:00,70.11142
2025-05-11 03:00:00+00:00,62.37422
2025-05-11 04:00:00+00:00,56.12335
2025-05-11 05:00:00+00:00,48.60435
2025-05-11 06:00:00+00:00,43.53483
2025-05-11 07:00:00+00:00,37.63483
2025-05-11 08:00:00+00:00,35.06634
2025-05-11 09:00:00+00:00,34.0327
2025-05-11 10:00:00+00:00,34.48874
2025-05-11 11:00:00+00:00,33.09554
2025-05-11 12:00:00+00:00,35.99947
2025-05-11 13:00:00+00:00,32.78326
2025-05-11 14:00:00+00:00,15.871
2025-05-11 15:00:00+00:00,6.44925
2025-05-11 16:00:00+00:00,6.194
2025-05-11 17:00:00+00:00,2.13637
2025-05-11 18:00:00+00:00,2.50145
2025-05-11 19:00:00+00:00,1.39487
2025-05-11 20:00:00+00:00,1.10108
2025-05-11 21:00:00+00:00,0.96813
2025-05-11 22:00:00+00:00,3.0
2025-05-11 23:00:00+00:00,3.97012
2025-05-12 00:00:00+00:00,18.21822
2025-05-12 01:00:00+00:00,35.90699
2025-05-12 02:00:00+00:00,49.72858
2025-05-12 03:00:00+00:00,51.37476
2025-05-12 04:00:00+00:00,46.93774
2025-05-12 05:00:00+00:00,39.89178
2025-05-12 06:00:00+00:00,38.3941
2025-05-12 07:00:00+00:00,39.51313
2025-05-12 08:00:00+00:00,37.31412
