collection_id,submit_time,end_time,duration_sec,scheduling_class,priority,job_type,terminal_type,num_tasks,avg_cpu_request,avg_mem_request,total_cpu_request,total_mem_request
169623912708,0,579933576752,579933.576752,3,200,service,6,5,0.005653762817382813,0.0035736083984375,0.056537628173828125,0.035736083984375
350880623035,0,,,3,119,service,,3,0.008431573418097776,0.001964569091796875,82.96668243408203,19.33135986328125
27408917280,0,,,2,200,service,,1,0.004849831263224283,0.0028417110443115234,0.058197975158691406,0.03410053253173828
374569556952,0,,,0,360,service,,1,0.002289295196533203,0.0017895698547363281,0.004578590393066406,0.0035791397094726562
372493202702,0,,,2,200,service,,1,0.015205860137939453,0.00404810905456543,0.06082344055175781,0.01619243621826172
245185075788,0,,,1,200,service,,1,0.000659942626953125,0.0007781982421875,0.001979827880859375,0.0023345947265625
112317945950,0,,,1,200,service,,1,0.00026416778564453125,0.0009083747863769531,0.001056671142578125,0.0036334991455078125
111504102373,0,,,3,200,service,,3,0.0005396458742429888,0.002460479736328125,0.15002155303955078,0.6840133666992188
97660492273,0,,,2,200,service,,2,0.00440216064453125,0.0006525421142578125,0.2201080322265625,0.032627105712890625
39516997747,0,,,2,0,service,,5544,0.0020227471061986697,0.00020835244062140788,19080.16890335083,1965.3469018936157
12176267200,0,,,3,450,service,,1,0.0081024169921875,0.0030059814453125,0.0081024169921875,0.0030059814453125
374909862680,0,,,0,0,batch,,2,0.008077405094060177,0.024078369140625,74.05364990234375,220.75048828125
204557434215,0,,,3,200,service,,1,0.0004405975341796875,0.00650787353515625,0.0022029876708984375,0.03253936767578125
320635448666,0,,,2,200,service,,30,0.00395965576171875,0.0016937255859375,0.38408660888671875,0.1642913818359375
64560406630,0,,,0,200,service,,1,0.000842911856515067,0.0025247846330915175,0.005900382995605469,0.017673492431640625
374590889494,0,,,1,200,service,,1,0.0004405975341796875,0.0008363723754882812,0.0004405975341796875,0.0008363723754882812
182812297820,0,,,3,200,service,,1,0.00152587890625,0.0012823740641276042,0.00457763671875,0.0038471221923828125
294778764357,0,,,2,115,service,,1,0.005572509765625,0.00517120361328125,0.027862548828125,0.02585601806640625
374985934145,0,5001644776,5001.644776,1,200,service,6,1,0.0810546875,0.0044097900390625,0.0810546875,0.0044097900390625
10163832305,0,,,3,450,service,,1,0.022430419921875,0.02288818359375,0.022430419921875,0.02288818359375
10164023773,0,,,3,450,service,,1,0.0,0.00274658203125,0.0,0.00274658203125
103625243200,0,,,3,450,service,,1,0.0,0.019622802734375,0.0,0.019622802734375
126766511149,0,,,1,119,batch,,1,0.0007189114888509114,0.0008138020833333334,0.004313468933105469,0.0048828125
374868497903,0,,,2,200,service,,1,0.016204833984375,0.00650787353515625,0.016204833984375,0.00650787353515625
294778764509,0,,,2,115,service,,1,0.00856781005859375,0.004955291748046875,0.034271240234375,0.0198211669921875
186657237113,0,,,1,115,batch,,1,0.0011441707611083984,0.002202749252319336,0.004576683044433594,0.008810997009277344
1864866224,0,,,2,200,service,,1772,0.008246188925191281,0.00414090437388231,67.9073657989502,34.1003475189209
28358154260,0,,,2,360,service,,1,0.014105478922526041,0.02084191640218099,0.08463287353515625,0.12505149841308594
348725131964,0,,,3,119,service,,3,0.0005741119384765625,0.0008270740509033202,0.0045928955078125,0.0066165924072265625
255016156509,0,,,3,200,service,,3,0.0081024169921875,0.002979278564453125,0.0729217529296875,0.026813507080078125
105754425100,0,,,3,200,service,,1,0.0016204833984375,0.001372528076171875,0.0081024169921875,0.006862640380859375
169507872682,0,,,2,200,service,,1,0.0040950775146484375,0.000843207041422526,0.024570465087890625,0.005059242248535156
374471447020,0,,,0,0,batch,,87,0.0141754150390625,0.00390625,264.32896423339844,72.83984375
82524795469,0,,,2,200,service,,1,0.0088043212890625,0.0027008056640625,0.052825927734375,0.016204833984375
